INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico,,,,,,,,,,,,,,,,,
Fecha de elaboración: 24/05/2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Población total por entidad federativa, sexo y grupos quinquenales de edad según tamaño de localidad",,,,,,,,,,,,,,,,,Población 2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Entidad federativa,Sexo,Grupos quinquenales de edad,Población total1,Tamaño de localidad,,,,,,,,,,,,,
,,,,1-249 habitantes,250-499 habitantes,500-999 habitantes,1 000-2 499 habitantes,2 500-4 999 habitantes,5 000-9 999 habitantes,10 000-14 999 habitantes,15 000-29 999 habitantes,30 000-49 999 habitantes,50 000-99 999 habitantes,100 000-249 999 habitantes,250 000-499 999 habitantes,500 000-999 999 habitantes,1 000 000 y más habitantes
,,,,,,,,,,,,,,,,,
08 Chihuahua,Total,30-34 años,"251,304","15,870","5,003","4,922","7,511","3,931","6,824","3,518","5,490","5,125","3,937","24,047",0,"59,145","105,981"
08 Chihuahua,Total,35-39 años,"259,968","15,582","5,018","5,027","7,974","4,110","7,012","3,465","5,787","5,689","4,056","24,612",0,"63,143","108,493"
08 Chihuahua,Total,40-44 años,"222,756","13,335","4,458","4,224","6,896","3,695","6,299","3,009","5,119","5,048","3,561","22,244",0,"56,570","88,298"
08 Chihuahua,Total,45-49 años,"183,153","11,987","3,652","3,710","6,095","3,468","5,344","2,599","4,392","4,292","3,073","19,644",0,"47,831","67,066"
08 Chihuahua,Total,50-54 años,"149,069","10,487","3,297","3,151","5,107","2,725","4,561","1,940","3,626","3,551","2,607","16,261",0,"39,790","51,966"
08 Chihuahua,Total,55-59 años,"108,607","8,666","2,721","2,529","4,183","2,208","3,415","1,500","2,696","2,531","2,016","11,610",0,"28,737","35,795"
08 Chihuahua,Total,60-64 años,"89,542","8,077","2,366","2,397","3,610","1,777","3,024","1,262","2,367","2,281","1,633","9,789",0,"23,532","27,427"
08 Chihuahua,Total,65-69 años,"68,809","6,822","2,096","2,137","3,300","1,576","2,302",889,"1,944","1,895","1,287","7,354",0,"17,371","19,836"
08 Chihuahua,Total,70-74 años,"54,419","6,544","1,851","1,905","2,692","1,321","1,895",772,"1,554","1,507",928,"5,977",0,"13,178","14,295"
08 Chihuahua,Total,75-79 años,"34,386","3,950","1,266","1,158","1,687",836,"1,155",471,"1,049","1,043",632,"3,649",0,"8,589","8,901"
08 Chihuahua,Total,80-84 años,"20,704","2,249",721,703,"1,108",489,714,258,608,556,342,"2,306",0,"5,395","5,255"
08 Chihuahua,Total,85-89 años,"10,184","1,062",385,318,545,214,319,140,319,303,190,"1,129",0,"2,609","2,651"
08 Chihuahua,Total,90-94 años,"3,294",372,110,98,164,82,119,40,102,83,48,323,0,881,872
08 Chihuahua,Total,95-99 años,"1,101",141,47,33,61,33,41,12,29,31,18,115,0,263,277
08 Chihuahua,Total,100 años y más,286,67,14,5,11,5,11,6,9,5,2,26,0,50,75
08 Chihuahua,Total,No especificado,"103,540","1,036",325,426,"2,765","4,391","1,062","1,384",755,163,144,"4,937",0,"25,879","60,273"
08 Chihuahua,Hombres,Total,"1,692,545","133,586","38,427","36,363","57,874","31,912","49,126","24,212","39,313","36,501","27,158","164,072",0,"394,144","659,857"
08 Chihuahua,Hombres,00-04 años,"163,607","14,480","3,765","3,593","5,023","2,986","4,936","2,530","3,947","3,470","2,697","15,589",0,"32,982","67,609"
08 Chihuahua,Hombres,05-09 años,"170,477","14,843","4,032","3,636","5,605","3,059","5,302","2,528","4,041","3,604","2,747","15,698",0,"35,580","69,802"
08 Chihuahua,Hombres,10-14 años,"164,749","14,383","4,031","3,587","5,721","3,211","5,153","2,614","4,064","3,693","2,792","15,974",0,"35,799","63,727"
08 Chihuahua,Hombres,15-19 años,"162,488","13,846","3,811","3,496","5,690","2,995","4,986","2,509","3,826","3,805","2,763","16,880",0,"38,283","59,598"
08 Chihuahua,Hombres,20-24 años,"142,953","10,758","3,155","2,935","4,577","2,395","3,966","2,083","3,245","3,051","2,438","14,770",0,"36,017","53,563"
08 Chihuahua,Hombres,25-29 años,"126,385","8,872","2,430","2,328","3,698","2,006","3,391","1,754","2,793","2,562","2,045","12,414",0,"30,908","51,184"
08 Chihuahua,Hombres,30-34 años,"124,137","8,257","2,564","2,457","3,830","1,896","3,264","1,732","2,661","2,453","1,944","11,615",0,"28,434","53,030"
08 Chihuahua,Hombres,35-39 años,"128,448","8,098","2,536","2,543","4,152","1,998","3,352","1,612","2,790","2,657","1,928","11,633",0,"30,244","54,905"
08 Chihuahua,Hombres,40-44 años,"109,944","7,022","2,345","2,192","3,528","1,792","3,032","1,470","2,490","2,422","1,670","10,446",0,"26,912","44,623"
08 Chihuahua,Hombres,45-49 años,"89,363","6,287","1,874","1,868","3,159","1,710","2,605","1,242","2,107","2,070","1,417","9,164",0,"22,342","33,518"
08 Chihuahua,Hombres,50-54 años,"71,988","5,598","1,682","1,613","2,559","1,372","2,224",932,"1,733","1,707","1,252","7,680",0,"18,485","25,151"
08 Chihuahua,Hombres,55-59 años,"52,311","4,566","1,423","1,292","2,114","1,069","1,626",700,"1,344","1,266",978,"5,445",0,"13,363","17,125"
08 Chihuahua,Hombres,60-64 años,"42,534","4,342","1,194","1,217","1,899",916,"1,496",595,"1,162","1,059",767,"4,477",0,"10,761","12,649"
08 Chihuahua,Hombres,65-69 años,"32,811","3,737","1,098","1,128","1,703",797,"1,137",424,966,903,611,"3,477",0,"7,738","9,092"
08 Chihuahua,Hombres,70-74 años,"26,273","3,608",956,"1,031","1,379",650,967,368,754,731,460,"2,881",0,"5,967","6,521"
08 Chihuahua,Hombres,75-79 años,"16,544","2,242",696,644,898,458,597,231,517,522,308,"1,715",0,"3,752","3,964"
08 Chihuahua,Hombres,80-84 años,"9,435","1,223",380,367,567,248,344,118,303,266,159,"1,082",0,"2,176","2,202"
08 Chihuahua,Hombres,85-89 años,"4,404",574,215,152,276,110,143,66,145,128,87,471,0,"1,025","1,012"
08 Chihuahua,Hombres,90-94 años,"1,383",216,55,56,88,40,56,12,37,39,17,136,0,319,312
08 Chihuahua,Hombres,95-99 años,428,77,23,12,30,14,16,3,11,12,6,44,0,88,92
08 Chihuahua,Hombres,100 años y más,113,33,5,2,5,1,3,0,6,1,0,13,0,14,30
08 Chihuahua,Hombres,No especificado,"51,770",524,157,214,"1,373","2,189",530,689,371,80,72,"2,468",0,"12,955","30,148"
08 Chihuahua,Mujeres,Total,"1,713,920","123,657","36,958","34,958","55,446","31,619","50,419","25,296","40,094","38,001","28,395","172,842",0,"415,088","661,147"
08 Chihuahua,Mujeres,00-04 años,"159,069","14,072","3,710","3,359","5,179","2,757","4,878","2,571","3,656","3,454","2,681","15,166",0,"31,906","65,680"
08 Chihuahua,Mujeres,05-09 años,"164,587","14,222","3,865","3,519","5,284","2,926","5,012","2,493","4,011","3,566","2,806","15,618",0,"34,281","66,984"
08 Chihuahua,Mujeres,10-14 años,"159,912","13,906","4,086","3,447","5,619","2,941","5,064","2,592","3,905","3,685","2,687","15,522",0,"34,722","61,736"
08 Chihuahua,Mujeres,15-19 años,"159,546","12,933","3,794","3,431","5,451","2,968","5,048","2,591","3,855","3,815","2,736","16,615",0,"37,708","58,601"
08 Chihuahua,Mujeres,20-24 años,"142,919","10,221","2,966","2,842","4,170","2,407","4,142","2,109","3,288","3,099","2,507","15,435",0,"36,151","53,582"
08 Chihuahua,Mujeres,25-29 años,"128,651","8,460","2,410","2,405","3,594","2,019","3,570","1,869","2,930","2,595","2,180","13,210",0,"31,932","51,477"
08 Chihuahua,Mujeres,30-34 años,"127,167","7,613","2,439","2,465","3,681","2,035","3,560","1,786","2,829","2,672","1,993","12,432",0,"30,711","52,951"
08 Chihuahua,Mujeres,35-39 años,"131,520","7,484","2,482","2,484","3,822","2,112","3,660","1,853","2,997","3,032","2,128","12,979",0,"32,899","53,588"
08 Chihuahua,Mujeres,40-44 años,"112,812","6,313","2,113","2,032","3,368","1,903","3,267","1,539","2,629","2,626","1,891","11,798",0,"29,658","43,675"
08 Chihuahua,Mujeres,45-49 años,"93,790","5,700","1,778","1,842","2,936","1,758","2,739","1,357","2,285","2,222","1,656","10,480",0,"25,489","33,548"
08 Chihuahua,Mujeres,50-54 años,"77,081","4,889","1,615","1,538","2,548","1,353","2,337","1,008","1,893","1,844","1,355","8,581",0,"21,305","26,815"
08 Chihuahua,Mujeres,55-59 años,"56,296","4,100","1,298","1,237","2,069","1,139","1,789",800,"1,352","1,265","1,038","6,165",0,"15,374","18,670"
08 Chihuahua,Mujeres,60-64 años,"47,008","3,735","1,172","1,180","1,711",861,"1,528",667,"1,205","1,222",866,"5,312",0,"12,771","14,778"
08 Chihuahua,Mujeres,65-69 años,"35,998","3,085",998,"1,009","1,597",779,"1,165",465,978,992,676,"3,877",0,"9,633","10,744"
08 Chihuahua,Mujeres,70-74 años,"28,146","2,936",895,874,"1,313",671,928,404,800,776,468,"3,096",0,"7,211","7,774"
08 Chihuahua,Mujeres,75-79 años,"17,842","1,708",570,514,789,378,558,240,532,521,324,"1,934",0,"4,837","4,937"
08 Chihuahua,Mujeres,80-84 años,"11,269","1,026",341,336,541,241,370,140,305,290,183,"1,224",0,"3,219","3,053"
08 Chihuahua,Mujeres,85-89 años,"5,780",488,170,166,269,104,176,74,174,175,103,658,0,"1,584","1,639"
08 Chihuahua,Mujeres,90-94 años,"1,911",156,55,42,76,42,63,28,65,44,31,187,0,562,560
08 Chihuahua,Mujeres,95-99 años,673,64,24,21,31,19,25,9,18,19,12,71,0,175,185
08 Chihuahua,Mujeres,100 años y más,173,34,9,3,6,4,8,6,3,4,2,13,0,36,45
08 Chihuahua,Mujeres,No especificado,"51,770",512,168,212,"1,392","2,202",532,695,384,83,72,"2,469",0,"12,924","30,125"
09 Distrito Federal,Total,Total,"8,851,080","26,045","8,909","4,341","1,392","18,341","17,846","49,215","135,116","34,603",0,"398,922","2,701,304","2,453,488","3,001,558"
09 Distrito Federal,Total,00-04 años,"618,245","2,732",952,395,193,"1,717","1,580","4,576","12,172","3,352",0,"31,286","174,166","157,832","227,292"
09 Distrito Federal,Total,05-09 años,"658,948","2,763",989,465,142,"1,768","1,754","4,769","12,732","3,277",0,"33,263","184,758","170,900","241,368"
09 Distrito Federal,Total,10-14 años,"660,345","2,812",908,505,140,"1,722","1,668","4,758","12,495","3,127",0,"32,667","186,805","172,409","240,329"
09 Distrito Federal,Total,15-19 años,"723,372","2,792",928,489,113,"1,827","1,739","4,813","13,441","3,422",0,"35,030","207,944","191,934","258,900"
09 Distrito Federal,Total,20-24 años,"753,404","2,306",821,433,130,"1,715","1,659","4,458","12,528","3,309",0,"35,059","218,733","207,158","265,095"
09 Distrito Federal,Total,25-29 años,"726,696","2,111",712,292,129,"1,535","1,451","4,000","10,862","2,844",0,"31,908","216,635","204,144","250,073"
09 Distrito Federal,Total,30-34 años,"702,642","2,144",738,348,112,"1,405","1,421","3,967","10,516","2,513",0,"31,738","215,308","195,963","236,469"
09 Distrito Federal,Total,35-39 años,"722,214","2,089",766,410,106,"1,466","1,342","3,845","10,883","2,659",0,"34,232","221,532","200,399","242,485"
09 Distrito Federal,Total,40-44 años,"629,563","1,755",588,301,74,"1,272","1,191","3,376","9,421","2,246",0,"29,512","195,173","173,411","211,243"
09 Distrito Federal,Total,45-49 años,"555,481","1,359",495,222,64,"1,026","1,089","2,809","7,987","1,896",0,"24,553","173,699","154,423","185,859"
09 Distrito Federal,Total,50-54 años,"506,310","1,038",341,170,56,851,893,"2,245","6,616","1,472",0,"21,091","159,635","146,447","165,455"
09 Distrito Federal,Total,55-59 años,"392,186",647,247,107,37,594,624,"1,657","4,575","1,006",0,"15,781","123,372","117,074","126,465"
09 Distrito Federal,Total,60-64 años,"315,793",448,131,87,16,409,414,"1,165","3,286",657,0,"12,042","100,533","95,974","100,631"
09 Distrito Federal,Total,65-69 años,"227,625",307,81,47,22,351,293,837,"2,312",447,0,"8,643","73,326","67,541","73,418"
09 Distrito Federal,Total,70-74 años,"179,329",203,48,30,7,243,269,715,"1,884",344,0,"6,474","60,440","52,249","56,423"
09 Distrito Federal,Total,75-79 años,"124,499",123,46,16,6,169,176,454,"1,193",208,0,"4,487","43,610","35,865","38,146"
09 Distrito Federal,Total,80-84 años,"85,121",68,24,6,1,101,100,314,756,132,0,"2,915","30,684","24,928","25,092"
09 Distrito Federal,Total,85-89 años,"47,170",45,17,4,2,75,81,165,440,86,0,"1,497","17,347","13,687","13,724"
09 Distrito Federal,Total,90-94 años,"17,225",13,7,4,0,18,26,35,119,24,0,543,"6,402","5,242","4,792"
09 Distrito Federal,Total,95-99 años,"5,797",3,0,1,0,10,7,17,45,5,0,175,"2,134","1,743","1,657"
09 Distrito Federal,Total,100 años y más,"1,089",2,0,0,0,2,2,4,7,4,0,31,384,333,320
09 Distrito Federal,Total,No especificado,"198,026",285,70,9,42,65,67,236,846,"1,573",0,"5,995","88,684","63,832","36,322"
09 Distrito Federal,Hombres,Total,"4,233,783","13,068","4,508","2,104",713,"9,080","8,822","24,120","66,212","16,921",0,"190,102","1,281,116","1,164,786","1,452,231"
09 Distrito Federal,Hombres,00-04 años,"314,701","1,387",497,197,93,904,851,"2,359","6,125","1,739",0,"15,750","88,709","80,531","115,559"
09 Distrito Federal,Hombres,05-09 años,"334,885","1,397",513,227,72,903,907,"2,394","6,571","1,656",0,"16,907","94,022","86,799","122,517"
09 Distrito Federal,Hombres,10-14 años,"334,674","1,426",482,246,69,890,867,"2,392","6,397","1,599",0,"16,629","94,441","87,487","121,749"
09 Distrito Federal,Hombres,15-19 años,"363,265","1,455",498,242,62,932,885,"2,460","6,766","1,675",0,"17,228","104,517","96,161","130,384"
09 Distrito Federal,Hombres,20-24 años,"372,368","1,175",398,216,63,872,810,"2,144","6,229","1,638",0,"16,623","107,850","101,430","132,920"
09 Distrito Federal,Hombres,25-29 años,"352,969","1,029",337,143,62,732,696,"1,962","5,198","1,353",0,"14,914","104,069","98,550","123,924"
09 Distrito Federal,Hombres,30-34 años,"335,988","1,022",341,154,61,660,690,"1,890","5,021","1,206",0,"14,740","102,299","92,948","114,956"
09 Distrito Federal,Hombres,35-39 años,"341,865",992,393,194,53,681,643,"1,805","5,190","1,276",0,"16,040","104,485","94,245","115,868"
09 Distrito Federal,Hombres,40-44 años,"295,151",881,300,148,40,591,555,"1,591","4,455","1,042",0,"13,783","91,402","80,635","99,728"
09 Distrito Federal,Hombres,45-49 años,"256,078",678,242,103,32,523,515,"1,378","3,806",902,0,"11,503","79,707","70,252","86,437"
09 Distrito Federal,Hombres,50-54 años,"230,325",522,159,79,33,413,447,"1,098","3,142",694,0,"9,713","72,284","65,706","76,035"
09 Distrito Federal,Hombres,55-59 años,"179,065",329,128,53,21,289,311,792,"2,286",483,0,"7,294","55,953","52,922","58,204"
09 Distrito Federal,Hombres,60-64 años,"141,010",237,77,46,8,214,203,546,"1,557",312,0,"5,557","43,772","42,986","45,495"
09 Distrito Federal,Hombres,65-69 años,"99,910",151,34,25,15,165,124,407,"1,094",219,0,"3,848","31,378","29,549","32,901"
09 Distrito Federal,Hombres,70-74 años,"75,227",114,23,17,5,119,132,340,832,147,0,"2,836","24,412","22,024","24,226"
09 Distrito Federal,Hombres,75-79 años,"50,795",60,25,6,3,71,76,210,548,88,0,"1,885","17,310","14,512","16,001"
09 Distrito Federal,Hombres,80-84 años,"32,012",35,12,2,0,45,36,152,319,60,0,"1,111","11,253","9,251","9,736"
09 Distrito Federal,Hombres,85-89 años,"17,062",25,6,1,0,35,24,64,184,35,0,529,"6,187","4,808","5,164"
09 Distrito Federal,Hombres,90-94 años,"5,529",5,5,1,0,10,10,13,47,13,0,164,"2,040","1,606","1,615"
09 Distrito Federal,Hombres,95-99 años,"1,688",1,0,0,0,3,2,6,18,2,0,62,613,439,542
09 Distrito Federal,Hombres,100 años y más,321,0,0,0,0,1,1,1,2,0,0,5,104,99,108
09 Distrito Federal,Hombres,No especificado,"98,895",147,38,4,21,27,37,116,425,782,0,"2,981","44,309","31,846","18,162"
09 Distrito Federal,Mujeres,Total,"4,617,297","12,977","4,401","2,237",679,"9,261","9,024","25,095","68,904","17,682",0,"208,820","1,420,188","1,288,702","1,549,327"
09 Distrito Federal,Mujeres,00-04 años,"303,544","1,345",455,198,100,813,729,"2,217","6,047","1,613",0,"15,536","85,457","77,301","111,733"
09 Distrito Federal,Mujeres,05-09 años,"324,063","1,366",476,238,70,865,847,"2,375","6,161","1,621",0,"16,356","90,736","84,101","118,851"
09 Distrito Federal,Mujeres,10-14 años,"325,671","1,386",426,259,71,832,801,"2,366","6,098","1,528",0,"16,038","92,364","84,922","118,580"
09 Distrito Federal,Mujeres,15-19 años,"360,107","1,337",430,247,51,895,854,"2,353","6,675","1,747",0,"17,802","103,427","95,773","128,516"
09 Distrito Federal,Mujeres,20-24 años,"381,036","1,131",423,217,67,843,849,"2,314","6,299","1,671",0,"18,436","110,883","105,728","132,175"
09 Distrito Federal,Mujeres,25-29 años,"373,727","1,082",375,149,67,803,755,"2,038","5,664","1,491",0,"16,994","112,566","105,594","126,149"
09 Distrito Federal,Mujeres,30-34 años,"366,654","1,122",397,194,51,745,731,"2,077","5,495","1,307",0,"16,998","113,009","103,015","121,513"
09 Distrito Federal,Mujeres,35-39 años,"380,349","1,097",373,216,53,785,699,"2,040","5,693","1,383",0,"18,192","117,047","106,154","126,617"
09 Distrito Federal,Mujeres,40-44 años,"334,412",874,288,153,34,681,636,"1,785","4,966","1,204",0,"15,729","103,771","92,776","111,515"
09 Distrito Federal,Mujeres,45-49 años,"299,403",681,253,119,32,503,574,"1,431","4,181",994,0,"13,050","93,992","84,171","99,422"
09 Distrito Federal,Mujeres,50-54 años,"275,985",516,182,91,23,438,446,"1,147","3,474",778,0,"11,378","87,351","80,741","89,420"
09 Distrito Federal,Mujeres,55-59 años,"213,121",318,119,54,16,305,313,865,"2,289",523,0,"8,487","67,419","64,152","68,261"
09 Distrito Federal,Mujeres,60-64 años,"174,783",211,54,41,8,195,211,619,"1,729",345,0,"6,485","56,761","52,988","55,136"
09 Distrito Federal,Mujeres,65-69 años,"127,715",156,47,22,7,186,169,430,"1,218",228,0,"4,795","41,948","37,992","40,517"
09 Distrito Federal,Mujeres,70-74 años,"104,102",89,25,13,2,124,137,375,"1,052",197,0,"3,638","36,028","30,225","32,197"
09 Distrito Federal,Mujeres,75-79 años,"73,704",63,21,10,3,98,100,244,645,120,0,"2,602","26,300","21,353","22,145"
09 Distrito Federal,Mujeres,80-84 años,"53,109",33,12,4,1,56,64,162,437,72,0,"1,804","19,431","15,677","15,356"
09 Distrito Federal,Mujeres,85-89 años,"30,108",20,11,3,2,40,57,101,256,51,0,968,"11,160","8,879","8,560"
09 Distrito Federal,Mujeres,90-94 años,"11,696",8,2,3,0,8,16,22,72,11,0,379,"4,362","3,636","3,177"
09 Distrito Federal,Mujeres,95-99 años,"4,109",2,0,1,0,7,5,11,27,3,0,113,"1,521","1,304","1,115"
09 Distrito Federal,Mujeres,100 años y más,768,2,0,0,0,1,1,3,5,4,0,26,280,234,212
09 Distrito Federal,Mujeres,No especificado,"99,131",138,32,5,21,38,30,120,421,791,0,"3,014","44,375","31,986","18,160"
10 Durango,Total,Total,"1,632,934","169,173","83,566","113,979","141,781","82,435","70,296","33,124","82,850",0,"79,669",0,"257,352","518,709",0
10 Durango,Total,00-04 años,"161,700","19,848","8,836","11,740","14,455","8,337","7,553","3,305","8,680",0,"6,959",0,"24,395","47,592",0
10 Durango,Total,05-09 años,"166,853","19,574","8,883","12,080","14,945","8,547","7,779","3,408","8,840",0,"7,678",0,"25,971","49,148",0
10 Durango,Total,10-14 años,"167,180","19,527","9,019","12,146","15,050","8,694","7,432","3,452","8,712",0,"7,770",0,"25,872","49,506",0
10 Durango,Total,15-19 años,"166,366","18,442","8,896","11,921","14,538","8,463","7,423","3,381","9,027",0,"7,535",0,"24,806","51,934",0
10 Durango,Total,20-24 años,"143,377","14,782","7,029","9,435","11,810","7,013","6,129","2,992","7,665",0,"6,743",0,"22,446","47,333",0
10 Durango,Total,25-29 años,"117,714","11,411","5,452","7,403","9,713","5,611","5,031","2,316","6,139",0,"5,720",0,"19,586","39,332",0
10 Durango,Total,30-34 años,"115,294","10,582","5,449","7,760","10,063","5,554","4,711","2,288","5,890",0,"6,006",0,"20,108","36,883",0
10 Durango,Total,35-39 años,"112,837","9,653","5,226","7,408","9,583","5,640","4,783","2,301","5,595",0,"6,055",0,"19,968","36,625",0
10 Durango,Total,40-44 años,"96,859","8,116","4,392","6,343","8,007","4,871","3,955","2,024","4,829",0,"5,139",0,"16,933","32,250",0
10 Durango,Total,45-49 años,"82,516","7,012","3,825","5,475","6,985","4,139","3,440","1,762","4,202",0,"4,206",0,"13,806","27,664",0
10 Durango,Total,50-54 años,"70,274","6,077","3,255","4,648","5,908","3,603","2,798","1,473","3,559",0,"3,653",0,"11,680","23,620",0
10 Durango,Total,55-59 años,"53,875","5,292","2,731","3,919","4,746","2,837","2,171","1,101","2,532",0,"2,742",0,"8,737","17,067",0
10 Durango,Total,60-64 años,"44,693","4,810","2,738","3,429","4,242","2,367","1,946",916,"1,974",0,"2,123",0,"6,599","13,549",0
10 Durango,Total,65-69 años,"34,601","4,201","2,362","3,164","3,588","2,014","1,555",712,"1,452",0,"1,515",0,"4,607","9,431",0
10 Durango,Total,70-74 años,"29,733","4,040","2,214","2,798","3,199","1,775","1,413",642,"1,289",0,"1,267",0,"3,472","7,624",0
10 Durango,Total,75-79 años,"19,595","2,437","1,471","1,985","2,101","1,214",803,486,859,0,774,0,"2,295","5,170",0
10 Durango,Total,80-84 años,"12,039","1,464",869,"1,097","1,281",757,599,302,531,0,476,0,"1,465","3,198",0
10 Durango,Total,85-89 años,"6,079",802,459,555,645,376,289,118,279,0,247,0,734,"1,575",0
10 Durango,Total,90-94 años,"1,953",295,149,184,211,93,97,45,105,0,71,0,220,483,0
10 Durango,Total,95-99 años,753,143,61,71,73,53,32,18,45,0,29,0,64,164,0
10 Durango,Total,100 años y más,235,57,26,20,27,16,5,3,13,0,11,0,22,35,0
10 Durango,Total,No especificado,"28,408",608,224,398,611,461,352,79,633,0,"2,950",0,"3,566","18,526",0
10 Durango,Hombres,Total,"803,890","86,864","42,328","56,847","70,859","40,884","34,795","16,051","40,194",0,"38,994",0,"126,001","250,073",0
10 Durango,Hombres,00-04 años,"82,046","10,080","4,441","5,920","7,398","4,199","3,864","1,679","4,413",0,"3,529",0,"12,336","24,187",0
10 Durango,Hombres,05-09 años,"84,823","9,967","4,471","6,101","7,590","4,343","4,013","1,765","4,409",0,"3,895",0,"13,194","25,075",0
10 Durango,Hombres,10-14 años,"84,969","10,016","4,631","6,095","7,738","4,389","3,765","1,783","4,376",0,"3,959",0,"13,137","25,080",0
10 Durango,Hombres,15-19 años,"84,036","9,429","4,575","6,087","7,367","4,345","3,712","1,668","4,621",0,"3,757",0,"12,451","26,024",0
10 Durango,Hombres,20-24 años,"70,380","7,474","3,549","4,557","5,856","3,394","3,002","1,426","3,645",0,"3,329",0,"11,113","23,035",0
10 Durango,Hombres,25-29 años,"56,978","5,760","2,706","3,530","4,652","2,742","2,442","1,054","2,835",0,"2,775",0,"9,614","18,868",0
10 Durango,Hombres,30-34 años,"55,171","5,399","2,695","3,802","4,818","2,634","2,269","1,036","2,695",0,"2,854",0,"9,652","17,317",0
10 Durango,Hombres,35-39 años,"54,244","5,010","2,684","3,677","4,717","2,762","2,269","1,085","2,622",0,"2,876",0,"9,617","16,925",0
10 Durango,Hombres,40-44 años,"46,107","4,147","2,220","3,102","3,933","2,315","1,907",929,"2,303",0,"2,470",0,"8,032","14,749",0
10 Durango,Hombres,45-49 años,"38,967","3,597","1,886","2,640","3,374","1,984","1,635",851,"1,895",0,"2,023",0,"6,573","12,509",0
10 Durango,Hombres,50-54 años,"33,322","3,109","1,612","2,280","2,936","1,749","1,342",675,"1,701",0,"1,693",0,"5,424","10,801",0
10 Durango,Hombres,55-59 años,"26,022","2,673","1,364","1,929","2,335","1,398","1,049",510,"1,212",0,"1,341",0,"4,236","7,975",0
10 Durango,Hombres,60-64 años,"21,418","2,484","1,374","1,753","2,124","1,185",947,446,951,0,991,0,"3,081","6,082",0
10 Durango,Hombres,65-69 años,"16,948","2,279","1,227","1,632","1,835","1,038",792,342,715,0,705,0,"2,121","4,262",0
10 Durango,Hombres,70-74 años,"14,618","2,246","1,198","1,472","1,645",871,732,284,614,0,612,0,"1,588","3,356",0
10 Durango,Hombres,75-79 años,"9,739","1,398",793,"1,074","1,111",624,398,225,402,0,363,0,"1,025","2,326",0
10 Durango,Hombres,80-84 años,"5,751",814,447,574,644,407,277,160,257,0,210,0,621,"1,340",0
10 Durango,Hombres,85-89 años,"2,885",439,225,291,346,190,145,60,151,0,91,0,295,652,0
10 Durango,Hombres,90-94 años,843,141,72,85,93,48,46,24,47,0,28,0,76,183,0
10 Durango,Hombres,95-99 años,336,77,36,38,29,27,17,8,19,0,8,0,25,52,0
10 Durango,Hombres,100 años y más,84,23,8,5,10,8,1,1,3,0,3,0,12,10,0
10 Durango,Hombres,No especificado,"14,203",302,114,203,308,232,171,40,308,0,"1,482",0,"1,778","9,265",0
10 Durango,Mujeres,Total,"829,044","82,309","41,238","57,132","70,922","41,551","35,501","17,073","42,656",0,"40,675",0,"131,351","268,636",0
10 Durango,Mujeres,00-04 años,"79,654","9,768","4,395","5,820","7,057","4,138","3,689","1,626","4,267",0,"3,430",0,"12,059","23,405",0
10 Durango,Mujeres,05-09 años,"82,030","9,607","4,412","5,979","7,355","4,204","3,766","1,643","4,431",0,"3,783",0,"12,777","24,073",0
10 Durango,Mujeres,10-14 años,"82,211","9,511","4,388","6,051","7,312","4,305","3,667","1,669","4,336",0,"3,811",0,"12,735","24,426",0
10 Durango,Mujeres,15-19 años,"82,330","9,013","4,321","5,834","7,171","4,118","3,711","1,713","4,406",0,"3,778",0,"12,355","25,910",0
10 Durango,Mujeres,20-24 años,"72,997","7,308","3,480","4,878","5,954","3,619","3,127","1,566","4,020",0,"3,414",0,"11,333","24,298",0
10 Durango,Mujeres,25-29 años,"60,736","5,651","2,746","3,873","5,061","2,869","2,589","1,262","3,304",0,"2,945",0,"9,972","20,464",0
10 Durango,Mujeres,30-34 años,"60,123","5,183","2,754","3,958","5,245","2,920","2,442","1,252","3,195",0,"3,152",0,"10,456","19,566",0
10 Durango,Mujeres,35-39 años,"58,593","4,643","2,542","3,731","4,866","2,878","2,514","1,216","2,973",0,"3,179",0,"10,351","19,700",0
10 Durango,Mujeres,40-44 años,"50,752","3,969","2,172","3,241","4,074","2,556","2,048","1,095","2,526",0,"2,669",0,"8,901","17,501",0
10 Durango,Mujeres,45-49 años,"43,549","3,415","1,939","2,835","3,611","2,155","1,805",911,"2,307",0,"2,183",0,"7,233","15,155",0
10 Durango,Mujeres,50-54 años,"36,952","2,968","1,643","2,368","2,972","1,854","1,456",798,"1,858",0,"1,960",0,"6,256","12,819",0
10 Durango,Mujeres,55-59 años,"27,853","2,619","1,367","1,990","2,411","1,439","1,122",591,"1,320",0,"1,401",0,"4,501","9,092",0
10 Durango,Mujeres,60-64 años,"23,275","2,326","1,364","1,676","2,118","1,182",999,470,"1,023",0,"1,132",0,"3,518","7,467",0
10 Durango,Mujeres,65-69 años,"17,653","1,922","1,135","1,532","1,753",976,763,370,737,0,810,0,"2,486","5,169",0
10 Durango,Mujeres,70-74 años,"15,115","1,794","1,016","1,326","1,554",904,681,358,675,0,655,0,"1,884","4,268",0
10 Durango,Mujeres,75-79 años,"9,856","1,039",678,911,990,590,405,261,457,0,411,0,"1,270","2,844",0
