INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico,,,,,,,,,,,,,,,,,
Fecha de elaboración: 24/05/2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Población total por entidad federativa, sexo y grupos quinquenales de edad según tamaño de localidad",,,,,,,,,,,,,,,,,Población 2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Entidad federativa,Sexo,Grupos quinquenales de edad,Población total1,Tamaño de localidad,,,,,,,,,,,,,
,,,,1-249 habitantes,250-499 habitantes,500-999 habitantes,1 000-2 499 habitantes,2 500-4 999 habitantes,5 000-9 999 habitantes,10 000-14 999 habitantes,15 000-29 999 habitantes,30 000-49 999 habitantes,50 000-99 999 habitantes,100 000-249 999 habitantes,250 000-499 999 habitantes,500 000-999 999 habitantes,1 000 000 y más habitantes
,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,Hombres,30-34 años,"4,026,031","177,442","151,122","207,555","301,142","219,626","216,436","132,791","230,050","149,572","221,906","326,845","513,359","618,476","559,709"
Estados Unidos Mexicanos,Hombres,35-39 años,"3,964,738","171,211","145,500","199,602","287,734","210,325","206,934","127,649","222,728","147,257","216,485","325,018","521,061","617,723","565,511"
Estados Unidos Mexicanos,Hombres,40-44 años,"3,350,322","147,261","122,615","166,569","237,676","174,227","172,616","106,269","187,195","123,575","180,412","273,361","452,878","524,764","480,904"
Estados Unidos Mexicanos,Hombres,45-49 años,"2,824,364","128,753","105,611","144,601","203,664","146,989","144,210","88,707","156,998","102,903","149,738","228,167","387,366","437,894","398,763"
Estados Unidos Mexicanos,Hombres,50-54 años,"2,402,451","114,163","91,058","122,341","170,588","123,773","121,233","74,084","131,792","85,970","125,227","191,739","333,640","374,715","342,128"
Estados Unidos Mexicanos,Hombres,55-59 años,"1,869,537","100,639","78,330","104,866","141,835","99,206","94,124","56,593","100,069","64,504","94,095","142,710","249,418","282,798","260,350"
Estados Unidos Mexicanos,Hombres,60-64 años,"1,476,667","88,868","66,368","87,023","115,329","78,196","73,896","44,224","77,530","50,588","71,340","107,054","188,442","220,597","207,212"
Estados Unidos Mexicanos,Hombres,65-69 años,"1,095,273","76,558","56,427","72,886","95,269","62,636","56,574","33,233","56,645","36,518","50,072","72,999","127,724","151,902","145,830"
Estados Unidos Mexicanos,Hombres,70-74 años,"873,893","70,304","51,250","64,645","83,749","54,383","48,061","27,633","45,613","28,747","37,828","53,529","92,498","110,572","105,081"
Estados Unidos Mexicanos,Hombres,75-79 años,"579,689","46,796","34,022","43,537","56,308","37,278","32,762","18,980","30,176","19,545","25,509","34,626","61,042","71,555","67,553"
Estados Unidos Mexicanos,Hombres,80-84 años,"355,277","28,469","21,161","26,905","34,660","22,980","20,459","11,806","19,018","12,140","15,456","20,885","37,531","43,118","40,689"
Estados Unidos Mexicanos,Hombres,85-89 años,"197,461","16,346","12,453","15,395","20,441","13,636","12,098","6,921","10,844","6,781","8,551","11,060","19,579","22,235","21,121"
Estados Unidos Mexicanos,Hombres,90-94 años,"68,130","5,838","4,474","5,415","7,280","4,743","4,338","2,476","3,851","2,428","2,920","3,595","6,391","7,278","7,103"
Estados Unidos Mexicanos,Hombres,95-99 años,"25,920","2,449","1,895","2,464","2,990","1,997","1,690",930,"1,482",897,"1,072","1,311","2,123","2,311","2,309"
Estados Unidos Mexicanos,Hombres,100 años y más,"7,228",951,672,809,"1,043",514,426,233,404,238,261,291,448,497,441
Estados Unidos Mexicanos,Hombres,No especificado,"700,219","20,468","11,599","14,670","20,200","18,706","19,722","13,680","30,403","19,795","28,872","62,721","148,389","169,348","121,646"
Estados Unidos Mexicanos,Mujeres,Total,"57,481,307","2,846,324","2,431,164","3,300,138","4,563,141","3,246,608","3,111,725","1,876,991","3,303,467","2,137,214","3,057,408","4,433,008","7,167,562","8,403,438","7,603,119"
Estados Unidos Mexicanos,Mujeres,00-04 años,"5,181,379","301,309","254,251","341,183","464,161","322,134","303,642","180,209","313,178","198,664","282,254","380,215","559,541","674,874","605,764"
Estados Unidos Mexicanos,Mujeres,05-09 años,"5,443,362","318,185","273,117","363,822","488,457","338,082","314,899","184,878","322,748","206,576","293,679","396,026","590,712","706,329","645,852"
Estados Unidos Mexicanos,Mujeres,10-14 años,"5,392,324","323,370","279,538","368,437","488,033","333,461","308,001","181,505","313,515","202,040","282,919","383,986","586,293","700,637","640,589"
Estados Unidos Mexicanos,Mujeres,15-19 años,"5,505,991","306,109","265,559","357,340","483,664","334,501","309,500","184,323","321,614","206,418","288,000","402,805","624,095","748,249","673,814"
Estados Unidos Mexicanos,Mujeres,20-24 años,"5,079,067","237,510","205,109","284,195","401,918","289,644","278,660","168,943","298,030","191,345","275,647","401,683","622,747","751,909","671,727"
Estados Unidos Mexicanos,Mujeres,25-29 años,"4,582,202","195,791","171,595","239,214","344,932","253,857","251,041","153,491","272,084","173,840","256,158","375,989","578,572","692,992","622,646"
Estados Unidos Mexicanos,Mujeres,30-34 años,"4,444,767","186,642","164,209","230,023","333,650","246,557","244,068","148,412","262,541","170,860","249,577","367,863","571,033","669,821","599,511"
Estados Unidos Mexicanos,Mujeres,35-39 años,"4,328,249","173,154","152,582","213,705","307,315","229,545","228,740","139,969","250,082","165,277","239,325","361,040","581,860","675,515","610,140"
Estados Unidos Mexicanos,Mujeres,40-44 años,"3,658,904","145,014","126,268","177,288","253,378","188,267","189,382","117,008","208,409","137,184","200,560","303,773","509,665","578,706","524,002"
Estados Unidos Mexicanos,Mujeres,45-49 años,"3,104,366","128,312","110,285","151,970","215,659","159,239","157,857","97,109","173,957","114,011","166,217","253,650","439,180","492,252","444,668"
Estados Unidos Mexicanos,Mujeres,50-54 años,"2,661,840","111,702","93,980","128,320","180,675","132,606","131,144","81,379","146,110","95,709","139,009","215,148","383,667","429,172","393,219"
Estados Unidos Mexicanos,Mujeres,55-59 años,"2,025,828","95,238","78,504","106,562","145,472","103,471","99,408","60,884","107,631","70,450","102,177","156,946","280,372","319,535","299,178"
